"provincia","anio","vab"
"Santa Cruz",2014,9435.88055944242
"Santa Cruz",2015,10311.903672418
"Santa Cruz",2016,9534.39617747987
"Santa Cruz",2017,9315.96164934317
"Santa Cruz",2018,9190.0808010506
"Santa Cruz",2019,8994.2510738714
"Santa Cruz",2020,7784.12493741895
"Santa Cruz",2021,8274.13049018968
"Santa Cruz",2022,8406.63453448718
"Santa Cruz",2023,8409.22726805484
"Santa Fe",2012,45913.2515519001
"Santa Fe",2013,47923.8443109858
"Santa Fe",2014,46266.5643954941
"Santa Fe",2015,47172.4082810729
"Santa Fe",2016,44649.2214865059
"Santa Fe",2017,47253.4677916784
"Santa Fe",2018,45126.7020369173
"Santa Fe",2019,45613.2889641785
"Santa Fe",2020,42071.1474865617
"Santa Fe",2021,47392.0684022963
"Santa Fe",2022,48243.6940117235
"Santa Fe",2023,46447.5858546898
"Santiago del Estero",2012,8174.47721813411
"Santiago del Estero",2013,9182.84877239897
"Santiago del Estero",2014,10629.100732517
"Santiago del Estero",2015,10455.520674255
"Santiago del Estero",2016,10749.1344608729
"Santiago del Estero",2017,11389.7544537177
"Santiago del Estero",2018,10042.6272813302
"Santiago del Estero",2019,10559.3539000933
"Santiago del Estero",2020,9523.96353635282
"Santiago del Estero",2021,10254.3150616324
"Santiago del Estero",2022,11004.8150922857
"Santiago del Estero",2023,9499.45133722092
"Tucumán",2012,11245.1323200902
"Tucumán",2013,11193.523602466
"Tucumán",2014,10953.2278593584
"Tucumán",2015,11262.9647454252
"Tucumán",2016,11443.9537513191
"Tucumán",2017,11819.3781037808
"Tucumán",2018,11939.2913325724
"Tucumán",2019,12039.8950818973
"Tucumán",2020,10853.0198981601
"Tucumán",2021,11828.7179814827
"Tucumán",2022,11946.7408353563
"Tucumán",2023,11621.8139494094
"Tierra del Fuego",2012,6423.7369943213
"Tierra del Fuego",2013,6429.33916783911
"Tierra del Fuego",2014,5718.74590997973
"Tierra del Fuego",2015,5911.45194120097
"Tierra del Fuego",2016,5631.51541990822
"Tierra del Fuego",2017,5665.80011590318
"Tierra del Fuego",2018,5612.7083694092
"Tierra del Fuego",2019,5082.53404298922
"Tierra del Fuego",2020,4749.31768704314
"Tierra del Fuego",2021,5446.25506906229
"Tierra del Fuego",2022,5848.9925174346
"Tierra del Fuego",2023,5577.54335100767
