anio,categoria,n,part,variable,grupo
2020,"Vacaciones, ocio",6413229,0.521454191360594,motivo,viaje
2020,Visita a familiares y amigos,4973075,0.40435649540981394,motivo,viaje
2021,Otros,822192,0.04588772856882138,motivo,viaje
2021,"Trabajo, negocios",296159,0.016529063534081543,motivo,viaje
2021,"Vacaciones, ocio",10579042,0.5904316848305035,motivo,viaje
2021,Visita a familiares y amigos,6220077,0.3471515230665937,motivo,viaje
2022,Otros,715326,0.023039902352757814,motivo,viaje
2022,"Trabajo, negocios",546101,0.017589342082831316,motivo,viaje
2022,"Vacaciones, ocio",21524203,0.6932720680374218,motivo,viaje
2022,Visita a familiares y amigos,8261637,0.26609868752698906,motivo,viaje
2023,Otros,752323.79,0.027993039759511975,motivo,viaje
2023,"Trabajo, negocios",498044.47,0.018531620076396985,motivo,viaje
2023,"Vacaciones, ocio",19128968.42,0.7117653072482382,motivo,viaje
2023,Visita a familiares y amigos,6496050.79,0.24171003291585286,motivo,viaje
2024,Otros,866867,0.06144264951300824,motivo,viaje
2024,"Trabajo, negocios",256859,0.018205904148227797,motivo,viaje
2024,"Vacaciones, ocio",9580770,0.679075213584949,motivo,viaje
2024,Visita a familiares y amigos,3404059,0.24127623275381496,motivo,viaje
2012,Camping,2127678,0.07254128626164229,tipo_alojamiento,viaje
2012,Hotel o similar hasta 3 estrellas,5978063,0.2038167332524621,tipo_alojamiento,viaje
2012,Hotel similar 4 o 5 estrellas,1046922,0.03569387308399629,tipo_alojamiento,viaje
2012,Resto,233194,0.007950541721302476,tipo_alojamiento,viaje
2012,Segunda vivienda del hogar,4844504,0.1651690488220826,tipo_alojamiento,viaje
2012,Vivienda alquilada por temporada,2820944,0.0961775730312868,tipo_alojamiento,viaje
2012,Vivienda de familiares y amigos,12279275,0.4186509438272274,tipo_alojamiento,viaje
2013,Camping,1585214,0.0524162046644918,tipo_alojamiento,viaje
2013,Hotel o similar hasta 3 estrellas,6269774,0.20731444283491657,tipo_alojamiento,viaje
2013,Hotel similar 4 o 5 estrellas,986485,0.032618813395826174,tipo_alojamiento,viaje
2013,Resto,166809,0.005515655730948133,tipo_alojamiento,viaje
2013,Segunda vivienda del hogar,4460449,0.14748785191117905,tipo_alojamiento,viaje
2013,Vivienda alquilada por temporada,2557814,0.0845759008674554,tipo_alojamiento,viaje
2013,Vivienda de familiares y amigos,14216278,0.47007113059518285,tipo_alojamiento,viaje
2014,Camping,1274388,0.04406054371236741,tipo_alojamiento,viaje
2014,Hotel o similar hasta 3 estrellas,6434250,0.22245701731442857,tipo_alojamiento,viaje
2014,Hotel similar 4 o 5 estrellas,687096,0.02375557784802807,tipo_alojamiento,viaje
2014,Resto,80779,0.0027928438282072074,tipo_alojamiento,viaje
2014,Segunda vivienda del hogar,4235932,0.14645262435664483,tipo_alojamiento,viaje
2014,Vivienda alquilada por temporada,2377717,0.08220691329025312,tipo_alojamiento,viaje
2014,Vivienda de familiares y amigos,13833403,0.4782744796500708,tipo_alojamiento,viaje
2015,Camping,1603975,0.05902871084953575,tipo_alojamiento,viaje
2015,Hotel o similar hasta 3 estrellas,6407104,0.2357911372676656,tipo_alojamiento,viaje
2015,Hotel similar 4 o 5 estrellas,771349,0.0283868121916355,tipo_alojamiento,viaje
2015,Resto,166175,0.006115491840846399,tipo_alojamiento,viaje
2015,Segunda vivienda del hogar,2396966,0.08821198143996528,tipo_alojamiento,viaje
2015,Vivienda alquilada por temporada,3016761,0.11102137674911162,tipo_alojamiento,viaje
2015,Vivienda de familiares y amigos,12810464,0.47144448966123986,tipo_alojamiento,viaje
2016,Camping,1072768,0.041962526361822974,tipo_alojamiento,viaje
2016,Hotel o similar hasta 3 estrellas,6565256,0.25680736932134113,tipo_alojamiento,viaje
2016,Hotel similar 4 o 5 estrellas,760099,0.02973212691382972,tipo_alojamiento,viaje
2016,Resto,44948,0.001758191552051533,tipo_alojamiento,viaje
2016,Segunda vivienda del hogar,3074718,0.12027105127126426,tipo_alojamiento,viaje
2016,Vivienda alquilada por temporada,2764028,0.10811806263312929,tipo_alojamiento,viaje
2016,Vivienda de familiares y amigos,11283088,0.44135067194656113,tipo_alojamiento,viaje
2017,Camping,985018,0.03242869890700821,tipo_alojamiento,viaje
2017,Hotel o similar hasta 3 estrellas,7986654,0.2629361065893747,tipo_alojamiento,viaje
2017,Hotel similar 4 o 5 estrellas,752894,0.02478672758761062,tipo_alojamiento,viaje
2017,Resto,133838,0.004406205982343637,tipo_alojamiento,viaje
2017,Segunda vivienda del hogar,4662899,0.15351165938570632,tipo_alojamiento,viaje
2017,Vivienda alquilada por temporada,3383345,0.11138626533071648,tipo_alojamiento,viaje
2017,Vivienda de familiares y amigos,12470237,0.41054433621724,tipo_alojamiento,viaje
2018,Camping,925466,0.03362590703357737,tipo_alojamiento,viaje
2018,Hotel o similar hasta 3 estrellas,6395672,0.23238052190923686,tipo_alojamiento,viaje
2018,Hotel similar 4 o 5 estrellas,531048,0.01929511260096772,tipo_alojamiento,viaje
2018,Resto,112203,0.0040767868802187015,tipo_alojamiento,viaje
2018,Segunda vivienda del hogar,5596566,0.2033457825822666,tipo_alojamiento,viaje
2018,Vivienda alquilada por temporada,2802826,0.10183795677776765,tipo_alojamiento,viaje
2018,Vivienda de familiares y amigos,11158629,0.4054379322159651,tipo_alojamiento,viaje
2019,Camping,840862,0.03142620342496441,tipo_alojamiento,viaje
2019,Hotel o similar hasta 3 estrellas,5493906,0.20532811276241822,tipo_alojamiento,viaje
2019,Hotel similar 4 o 5 estrellas,846067,0.03162073402431001,tipo_alojamiento,viaje
2019,Resto,72999,0.002728249610303447,tipo_alojamiento,viaje
2019,Segunda vivienda del hogar,4943449,0.184755446071932,tipo_alojamiento,viaje
2019,Vivienda alquilada por temporada,3221620,0.12040416320149304,tipo_alojamiento,viaje
2019,Vivienda de familiares y amigos,11337813,0.4237370909045789,tipo_alojamiento,viaje
2020,Camping,362988,0.029514245322223683,tipo_alojamiento,viaje
2020,Hotel o similar hasta 3 estrellas,1990026,0.161807320246409,tipo_alojamiento,viaje
2020,Hotel similar 4 o 5 estrellas,285896,0.023245960419194196,tipo_alojamiento,viaje
2020,Resto,85607,0.00696063230547457,tipo_alojamiento,viaje
2020,Segunda vivienda del hogar,2626373,0.2135481531887131,tipo_alojamiento,viaje
2020,Vivienda alquilada por temporada,1929255,0.15686608196173607,tipo_alojamiento,viaje
2020,Vivienda de familiares y amigos,5018594,0.4080576065562494,tipo_alojamiento,viaje
2021,Camping,598298,0.033391879545493865,tipo_alojamiento,viaje
2021,Hotel o similar hasta 3 estrellas,3981563,0.22221680851146952,tipo_alojamiento,viaje
