"provincia","anio","hoteles","restaurantes","vab_total","porc_hoteles","porc_restaurantes","porc_hyr"
"CABA",2004,581.279579735017,2165.50211313494,85706.9389997919,0.0067821764085686,0.025266356941533,0.0320485333501016
"CABA",2005,599.451212525129,2339.13272715095,93498.5936643454,0.00641133934781013,0.0250178386163572,0.0314291779641673
"CABA",2006,625.763207131527,2454.1872585825,101670.21287461,0.00615483325389789,0.0241387048299904,0.0302935380838883
"CABA",2007,686.336786748205,2656.77419025537,112133.303076287,0.00612072210413059,0.0236929985773085,0.0298137206814391
"CABA",2008,672.80120303979,2614.00895635635,117261.871114757,0.00573759566211732,0.0222920624709986,0.0280296581331159
"CABA",2009,559.979255504748,2529.00268226671,114087.17856571,0.00490834520184247,0.0221672821964836,0.0270756273983261
"CABA",2010,734.494188888514,2633.50696241906,120846.765384385,0.00607789696771992,0.0217921179275465,0.0278700148952664
"CABA",2011,741.510371947382,2727.61704436091,126825.757986647,0.00584668590764861,0.0215068065640742,0.0273534924717228
"CABA",2012,712.07108847549,2689.89861960418,124949.919864713,0.00569885190199778,0.0215278138834872,0.027226665785485
"CABA",2013,739.638730912327,2591.32953572813,125041.896576724,0.00591512725863443,0.020723690272389,0.0266388175310235
"CABA",2014,779.705829710579,2472.28163618292,122464.180371866,0.00636680723574012,0.0201877939220739,0.026554601157814
"CABA",2015,753.053723802792,2433.72051389068,124247.152353416,0.00606093346639254,0.0195877367633188,0.0256486702297114
"CABA",2016,738.136311097236,2445.83632380657,123199.881431681,0.00599137192763096,0.0198525866695974,0.0258439585972284
"CABA",2017,767.705239401877,2481.16423678131,125973.652127237,0.00609417307856148,0.0196958982682765,0.025790071346838
"CABA",2018,715.492530320759,2454.07442040105,124075.627185066,0.00576658403066994,0.0197788596848328,0.0255454437155028
"CABA",2019,725.136100390138,2448.41032492692,118237.390234741,0.00613288316792597,0.0207075809104548,0.0268404640783808
"CABA",2020,145.458222292193,1364.58062256866,103834.724852345,0.00140086298200373,0.0131418523476527,0.0145427153296564
"CABA",2021,152.067441783822,1629.39193046631,113402.664487132,0.00134095122430811,0.0143681979416912,0.0157091491659993
"CABA",2022,642.611888895944,1976.39472770069,119077.261827467,0.0053965961177965,0.0165975829253139,0.0219941790431104
"CABA",2023,750.275531300182,2146.64515327849,119523.878126157,0.00627720203747297,0.0179599690616859,0.0242371710991588
"Buenos Aires",2004,289.362869649252,1268.0296173402,131865.786636822,0.00219437412106144,0.00961606228333163,0.0118104364043931
"Buenos Aires",2005,365.477266583013,1462.92769843744,144239.001615442,0.00253383108930148,0.0101423864700463,0.0126762175593477
